ecosystem,habitat,notes,trophic_position,organ,species,genus,species1,phylum,class,order,family,original_study,name_of_data_extractor,study_number,date_data_extracted,data_from,reference,reference_notes,source,common_name,dha,epa,ala,fa_id
Marine,NA,Phytoplankton,Producer,NA,Thalassiosira_pseudonana,Thalassiosira,pseudonana,NA,NA,NA,NA,Schwenk et al 2013,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.428571429,22,2.285714286,2726
Marine,NA,Phytoplankton,Producer,NA,Thalassiosira_pseudonana,Thalassiosira,pseudonana,NA,NA,NA,NA,Schwenk et al 2013,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,2.387267905,9.416445623,0.707338638,2727
Terrestrial,NA,NA,Producer,NA,Myrtus_communis,Myrtus,communis,NA,NA,NA,Myrtaceae,Serce et al. 2010,Miguel,16,27_11_2019,"Guil-Guerrero J., Torija-Isasa M. (2016) Fatty Acid Profiles of Mediterranean Wild Edible Plants. In: SÃ¡nchez-Mata M., TardÃ_o J. (eds) Mediterranean Wild Edible Plants. Springer, New York, NY",,,NA,Myrtle,0,0,â€“,4233
Marine,NA,Phytoplankton,Producer,NA,Navicula_jeffreyi,Navicula,jeffreyi,NA,NA,NA,NA,Shamsudin et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,2.1,20.1,3.1,2728
Marine,NA,Phytoplankton,Producer,NA,Skeletonema_sp_,Skeletonema,sp,NA,NA,NA,NA,Shamsudin et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,4.2,20.2,0.5,2729
Marine,NA,Phytoplankton,Producer,NA,Thalassiosira_pseudonana,Thalassiosira,pseudonana,NA,NA,NA,NA,Shamsudin et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.3,10.2,0.3,2730
Marine,NA,Phytoplankton,Producer,NA,Thalassiosira_pseudonana,Thalassiosira,pseudonana,NA,NA,NA,NA,Shamsudin et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.3,10.2,0.3,2731
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_simplex,Chaetoceros,simplex,NA,NA,NA,NA,Skerratt et al 1998,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.5,17.3,0.3,2732
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_simplex,Chaetoceros,simplex,NA,NA,NA,NA,Skerratt et al 1998,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.5,17.3,0.3,2733
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_simplex,Chaetoceros,simplex,NA,NA,NA,NA,Skerratt et al 1998,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.4,14.4,0,2734
Marine,NA,Phytoplankton,Producer,NA,Odontella_weissflogii,Odontella,weissflogii,NA,NA,NA,NA,Skerratt et al 1998,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,2.3,28.2,1.3,2735
Marine,NA,Phytoplankton,Producer,NA,Odontella_weissflogii,Odontella,weissflogii,NA,NA,NA,NA,Skerratt et al 1998,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,2.3,28.3,1.2,2736
Marine,NA,Phytoplankton,Producer,NA,Odontella_weissflogii,Odontella,weissflogii,NA,NA,NA,NA,Skerratt et al 1998,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,2.1,28.6,1.2,2737
Marine,NA,Phytoplankton,Producer,NA,Odontella_weissflogii,Odontella,weissflogii,NA,NA,NA,NA,Skerratt et al 1998,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,3.108,42.328,1.776,2738
Marine,NA,Phytoplankton,Producer,NA,Phaeocystis_antarctica,Phaeocystis,antarctica,NA,NA,NA,NA,Skerratt et al 1998,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0,0,0.6,2739
Marine,NA,Phytoplankton,Producer,NA,Phaeocystis_antarctica,Phaeocystis,antarctica,NA,NA,NA,NA,Skerratt et al 1998,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0,0,1.2,2740
Marine,NA,Phytoplankton,Producer,NA,Phaeocystis_antarctica,Phaeocystis,antarctica,NA,NA,NA,NA,Skerratt et al 1998,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0,0,0.4,2741
Terrestrial,NA,Terrestrial plants,Producer,NA,Juglans_mandshurica,Juglans,mandshurica,NA,NA,NA,NA,Sun et al,Lily,2,24_06_20,Columbo et al 2017,,,NA,Manchurian Walnut,NA,NA,12.06,3951
Terrestrial,NA,Terrestrial plants,Producer,NA,Oenothera_biennis,Oenothera,biennis,NA,NA,NA,NA,Sun et al,Lily,2,24_06_20,Columbo et al 2017,,,NA,Evening primose,NA,NA,NA,3952
Terrestrial,NA,Terrestrial plants,Producer,NA,Perilla__frutescens,Perilla,,NA,NA,NA,NA,Sun et al,Lily,2,24_06_20,Columbo et al 2017,,,NA,Purple Perilla,NA,NA,54.28,3953
Terrestrial,NA,Terrestrial plants,Producer,NA,Pinus_koraiensis,Pinus,koraiensis,NA,NA,NA,NA,Sun et al,Lily,2,24_06_20,Columbo et al 2017,,,NA,Korean Pine,NA,NA,NA,3954
Terrestrial,NA,Terrestrial plants,Producer,NA,Sambucus_williamsii,Sambucus,williamsii,NA,NA,NA,NA,Sun et al,Lily,2,24_06_20,Columbo et al 2017,,,NA,Elderberry,NA,NA,23.04,3955
Freshwater,NA,NA,Producer,NA,Chlorella_vulgaris,Chlorella,vulgaris,NA,Chlorophyceae,NA,NA,Sushchik et al 2001,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,24.6,460
Freshwater,NA,NA,Producer,NA,Chlorella_vulgaris,Chlorella,vulgaris,NA,Chlorophyceae,NA,NA,Sushchik et al 2001,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,14.5,461
Freshwater,NA,NA,Producer,NA,Chlorella_vulgaris,Chlorella,vulgaris,NA,Chlorophyceae,NA,NA,Sushchik et al 2001,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,11.4,462
Freshwater,NA,NA,Producer,NA,Botryococcus_Braunii,Botryococcus,Braunii,NA,Chlorophyceae,NA,NA,Sushchik et al 2003,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,38.3,463
Freshwater,NA,NA,Producer,NA,Botryococcus_Braunii,Botryococcus,Braunii,NA,Chlorophyceae,NA,NA,Sushchik et al 2003,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,29.4,464
Freshwater,NA,NA,Producer,NA,Botryococcus_Braunii,Botryococcus,Braunii,NA,Chlorophyceae,NA,NA,Sushchik et al 2003,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,19,465
Freshwater,NA,NA,Producer,NA,Chlorella_vulgaris,Chlorella,vulgaris,NA,Chlorophyceae,NA,NA,Sushchik et al 2003,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,24.6,466
Freshwater,NA,NA,Producer,NA,Chlorella_vulgaris,Chlorella,vulgaris,NA,Chlorophyceae,NA,NA,Sushchik et al 2003,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,14.5,467
Freshwater,NA,NA,Producer,NA,Chlorella_vulgaris,Chlorella,vulgaris,NA,Chlorophyceae,NA,NA,Sushchik et al 2003,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,11.4,468
Marine,NA,Phytoplankton,Producer,NA,Synedra_sp,Synedra,sp,NA,NA,NA,NA,Taipale et al 2013,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.49770898,11.01292807,1.597829299,2742
Freshwater,NA,NA,Producer,NA,Candidatus__Rhodoluna__limnophila,Candidatus,,NA,"Actinobacteria",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Bacteria",0,0,"0.0",431
Freshwater,NA,NA,Producer,NA,Methylosinus__trichosporium,Methylosinus,,NA,"Alphaproteobacteria",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Bacteria",0,0,"0.0",432
Freshwater,NA,NA,Producer,NA,Polynucleobacter__necessarius_ssp___asymbioticus,Polynucleobacter,,NA,"Betaproteobacteria",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Bacteria",0,0,"0.0",433
Freshwater,NA,NA,Producer,NA,Chlorobium__phaerobacteroides,Chlorobium,,NA,"Chlorobia",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Bacteria",0,0,"0.0",434
Freshwater,NA,NA,Producer,NA,Scenedesmus__gracilis,Scenedesmus,,NA,"Chlorophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",0,0,48.9,435
Freshwater,NA,NA,Producer,NA,Monoraphidium__griffithii,Monoraphidium,,NA,"Chlorophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",0,0,22.6,436
Freshwater,NA,NA,Producer,NA,Mallomonas__caudata,Mallomonas,,NA,"Chrysophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",11,7,"8.5",437
Freshwater,NA,NA,Producer,NA,Cryptomonas__erosa,Cryptomonas,,NA,"Cryptophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",1,14,15.5,438
Freshwater,NA,NA,Producer,NA,Crytomonas__ozolinii,Crytomonas,,NA,"Cryptophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",3,11,23.6,439
Freshwater,NA,NA,Producer,NA,Rhodomonas__lacustris,Rhodomonas,,NA,"Cryptophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",4,8,23.7,440
Freshwater,NA,NA,Producer,NA,Peridinium__cinctum,Peridinium,,NA,"Cyanophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",25.9,17.3,11.8,441
Freshwater,NA,NA,Producer,NA,Syneochococcus__elongatus,Syneochococcus,,NA,"Cyanophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",0,0,"0.0",442
Freshwater,NA,NA,Producer,NA,Microcystis__aeruginosa,Microcystis,,NA,"Cyanophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Bacteria",0,0,"0.0",443
Freshwater,NA,NA,Producer,NA,Limnothrix__planctonica,Limnothrix,,NA,"Cyanophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",0,0,34.2,444
Freshwater,NA,NA,Producer,NA,Pseudoanabaena__limnetica,Pseudoanabaena,,NA,"Cyanophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",0,0,18.6,445
Freshwater,NA,NA,Producer,NA,Euglena_gracilis,Euglena,gracilis,NA,"Euglenophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",7,12,"9.4",446
Freshwater,NA,NA,Producer,NA,Gonyostomum__semen,Gonyostomum,,NA,"Raphidophyceae",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",1,18,10,447
Freshwater,NA,NA,Producer,NA,Synura_sp_,Synura,sp,NA,Chrysophyceae,NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",5,2,13.4,469
Freshwater,NA,NA,Producer,NA,Cryptomonas_sp_,Cryptomonas,sp,NA,Cryptophyceae,NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",3,17,19.7,470
Freshwater,NA,NA,Producer,NA,Fragilaria__crotonensis,Fragilaria,,NA,Diatomophyceae,NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",0.9,14.1,"0.0",495
Freshwater,NA,NA,Producer,NA,Cyclotella__meneghiniana,Cyclotella,,NA,Diatomophyceae,NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",2.3,23.1,"0.0",496
Freshwater,NA,NA,Producer,NA,Diatoma_tenuis,Diatoma,tenuis,NA,Diatomophyceae,NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Phytoplankton",0.9,40.6,"0.3",497
Freshwater,NA,NA,Producer,NA,Methylobacter__tundripaludum,Methylobacter,,NA,Gammaproteobacteria,NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Bacteria",0,0,"0.0",500
Freshwater,NA,NA,Producer,NA,Methylomonas__methanica,Methylomonas,,NA,Gammaproteobacteria,NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,"Bacteria",0,0,"0.0",501
Terrestrial,NA,NA,Producer,NA,Alnus_rubra,Alnus,rubra,NA,"Magnoliopsida",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,Terrestrial,0,0,17.3,3544
Terrestrial,NA,NA,Producer,NA,Betula_nana,Betula,nana,NA,"Magnoliopsida",NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,Terrestrial,0,0,16.5,3545
Terrestrial,NA,NA,Producer,NA,Phragmites__australis,Phragmites,,NA,Liliopsida,NA,NA,Taipale et al 2016,NA,10,NA,Taipale et al 2016,,,NA,Terrestrial,0,0,"0.1",3546
Marine,NA,Phytoplankton,Producer,NA,Phaeocystis_globosa,Phaeocystis,globosa,NA,NA,NA,NA,Tang 2001,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0,1.16,23.23,2743
Terrestrial,NA,NA,Producer,seeds,Chenopodium_quinoa,Chenopodium,quinoa,NA,NA,NA,NA,"Tang et al., 2015",Nemiah Ladd,17,NA,NA,,,NA,Quinoa,NA,NA,8.44,4265
Terrestrial,NA,NA,Producer,seeds,Chenopodium_quinoa,Chenopodium,quinoa,NA,NA,NA,NA,"Tang et al., 2015",Nemiah Ladd,17,NA,NA,,,NA,Quinoa,NA,NA,7.34,4266
Terrestrial,NA,NA,Producer,seeds,Chenopodium_quinoa,Chenopodium,quinoa,NA,NA,NA,NA,"Tang et al., 2015",Nemiah Ladd,17,NA,NA,,,NA,Quinoa,NA,NA,8.51,4267
Marine,NA,NA,Producer,NA,Chlorella_UMACC____,Chlorella,UMACC,NA,Chlorophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,10.4,2143
Marine,NA,NA,Producer,NA,Chlorella_UMACC____,Chlorella,UMACC,NA,Chlorophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,19,2144
Marine,NA,NA,Producer,NA,Chlorella_UMACC____,Chlorella,UMACC,NA,Chlorophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,18.8,2145
Marine,NA,NA,Producer,NA,Chlorella_UMACC____,Chlorella,UMACC,NA,Chlorophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,25.2,2146
Marine,NA,NA,Producer,NA,Chlorella_UMACC____,Chlorella,UMACC,NA,Chlorophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,18.4,2147
Marine,NA,NA,Producer,NA,Chlorella_UMACC____,Chlorella,UMACC,NA,Chlorophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,4.1,2148
Marine,NA,NA,Producer,NA,Chlorella_UMACC____,Chlorella,UMACC,NA,Chlorophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,8.3,2149
Marine,NA,NA,Producer,NA,Chlorella_UMACC____,Chlorella,UMACC,NA,Chlorophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,8.5,2150
Marine,NA,NA,Producer,NA,Chlorella_UMACC____,Chlorella,UMACC,NA,Chlorophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,13.1,2151
Marine,NA,NA,Producer,NA,Chlorella_UMACC____,Chlorella,UMACC,NA,Trebouxiophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,12,2187
Marine,NA,NA,Producer,NA,Chlorella_UMACC____,Chlorella,UMACC,NA,Trebouxiophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,3.8,2188
Marine,NA,NA,Producer,NA,Chlorella_UMACC____,Chlorella,UMACC,NA,Trebouxiophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,1.3,2189
Marine,NA,NA,Producer,NA,Klebsormidium_UMACC____,Klebsormidium,UMACC,NA,Trebouxiophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,9.2,2190
Marine,NA,NA,Producer,NA,Klebsormidium_UMACC____,Klebsormidium,UMACC,NA,Trebouxiophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,2.6,2191
Marine,NA,NA,Producer,NA,Klebsormidium_UMACC____,Klebsormidium,UMACC,NA,Trebouxiophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,3.8,2192
Marine,NA,NA,Producer,NA,Klebsormidium_UMACC____,Klebsormidium,UMACC,NA,Trebouxiophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,16.8,2193
Marine,NA,NA,Producer,NA,Klebsormidium_UMACC____,Klebsormidium,UMACC,NA,Trebouxiophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,8.9,2194
Marine,NA,NA,Producer,NA,Stichococcus_UMACC____,Stichococcus,UMACC,NA,Trebouxiophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,3.1,2195
Marine,NA,NA,Producer,NA,Stichococcus_UMACC____,Stichococcus,UMACC,NA,Trebouxiophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,21.6,2196
Marine,NA,NA,Producer,NA,Stichococcus_UMACC____,Stichococcus,UMACC,NA,Trebouxiophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,28.6,2197
Marine,NA,NA,Producer,NA,Stichococcus_UMACC____,Stichococcus,UMACC,NA,Trebouxiophyceae,NA,NA,Teoh et al 2004,Lily,8,3_07_2020,Hixson et al 2016,,,NA,Chlorophytes,0,0,20.1,2198
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Teoh et al 2013,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,27.5,0,11.5,2744
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Teoh et al 2013,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,14.3,0,15.7,2745
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_calcitrans,Chaetoceros,calcitrans,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.3,16.5,0.2,2746
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_calcitrans,Chaetoceros,calcitrans,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.5,15.7,0.3,2747
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_calcitrans,Chaetoceros,calcitrans,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.7,10.5,0.3,2748
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_calcitrans,Chaetoceros,calcitrans,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.9,14.6,0,2749
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_calcitrans,Chaetoceros,calcitrans,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.2,14.1,0,2750
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_calcitrans,Chaetoceros,calcitrans,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.3,16.5,0.2,2751
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_calcitrans,Chaetoceros,calcitrans,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.5,15.7,0.3,2752
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_calcitrans,Chaetoceros,calcitrans,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.7,10.5,0.3,2753
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_calcitrans,Chaetoceros,calcitrans,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.9,14.6,0,2754
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_gracilis,Chaetoceros,gracilis,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0,6.3,0.7,2755
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_gracilis,Chaetoceros,gracilis,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0,2.8,0.3,2756
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_gracilis,Chaetoceros,gracilis,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.5,11.6,0.8,2757
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_gracilis,Chaetoceros,gracilis,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.5,5.8,0.7,2758
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_gracilis,Chaetoceros,gracilis,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.6,5.3,0.6,2759
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_gracilis,Chaetoceros,gracilis,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0,6.3,0.7,2760
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_gracilis,Chaetoceros,gracilis,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0,2.8,0.3,2761
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_gracilis,Chaetoceros,gracilis,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.5,11.6,0.8,2762
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_gracilis,Chaetoceros,gracilis,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.5,5.8,0.7,2763
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_gracilis,Chaetoceros,gracilis,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.6,5.3,0.6,2764
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_simplex,Chaetoceros,simplex,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,4,10.4,0,2765
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_simplex,Chaetoceros,simplex,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.7,3.7,0.2,2766
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_simplex,Chaetoceros,simplex,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.1,6.1,0.2,2767
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_simplex,Chaetoceros,simplex,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.5,2,0.3,2768
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_simplex,Chaetoceros,simplex,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.2,6.8,0.3,2769
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_Simplex,Chaetoceros,Simplex,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,4,10.4,0,2770
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_Simplex,Chaetoceros,Simplex,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.7,3.7,0.2,2771
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_Simplex,Chaetoceros,Simplex,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.1,6.1,0.2,2772
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_Simplex,Chaetoceros,Simplex,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0.5,2,0.3,2773
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_Simplex,Chaetoceros,Simplex,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,1.2,6.8,0.5,2774
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,4,11.6,0,2775
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,0,2.8,0.3,2776
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,14.4,0.5,6.3,2777
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,11.1,0.6,5.8,2778
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,8.2,1.9,5.2,2779
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Thompson et al 1992,Lily,2,24_06_20,Columbo et al 2017,,,NA,NA,4,11.6,0,2780
